(21.7, 'Sao Paulo', 'Osasco')
(28.6, 'Campinas', 'Indaiatuba')
(65.7, 'Sorocaba', 'Indaiatuba')
(73.6, 'Itapevi', 'Sorocaba')
(88.9, 'Sorocaba', 'Campinas')
(98.0, 'Campinas', 'Itapevi')
(99.0, 'Sao Paulo', 'Sorocaba')
(100.0, 'Osasco', 'Indaiatuba')
(103.4, 'Sao Paulo', 'Indaiatuba')
(146.2, 'Sao Carlos', 'Campinas')
(160.5, 'Registro', 'Sorocaba')
(174.6, 'Bauru', 'Sao Carlos')
(178.3, 'Bauru', 'Sao Paulo')
(191.9, 'Sao Paulo', 'Registro')
(259.1, 'Registro', 'Campinas')
(261.6, 'Campinas', 'Bauru')
(315.6, 'Sao Paulo', 'Sao Carlos')
